DateTime,EndDateTime,DeviceId,Aggregation,AppName,AppPublisher
"10/23/2023 12:00:00 AM +00:00","10/23/2023 11:59:59 PM +00:00",,Daily,Microsoft Store,Microsoft Corporation
"10/23/2023 12:00:00 AM +00:00","10/23/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"10/23/2023 12:00:00 AM +00:00","10/23/2023 11:59:59 PM +00:00",,Daily,Bing,Microsoft Corporation
"10/23/2023 12:00:00 AM +00:00","10/23/2023 11:59:59 PM +00:00",,Daily,Microsoft Excel,Microsoft Corporation
"10/23/2023 12:00:00 AM +00:00","10/23/2023 11:59:59 PM +00:00",,Daily,Microsoft Outlook,Microsoft Corporation
"10/23/2023 12:00:00 AM +00:00","10/23/2023 11:59:59 PM +00:00",,Daily,Microsoft Sticky Notes,Microsoft Corporation
"10/23/2023 12:00:00 AM +00:00","10/23/2023 11:59:59 PM +00:00",,Daily,Office Shared Components,Microsoft Corporation
"10/23/2023 12:00:00 AM +00:00","10/23/2023 11:59:59 PM +00:00",,Daily,www.microsoft.com,Microsoft Corporation
"10/23/2023 12:00:00 AM +00:00","10/23/2023 11:59:59 PM +00:00",,Daily,www.microsoft.com,Microsoft Corporation
"10/23/2023 12:00:00 AM +00:00","10/23/2023 11:59:59 PM +00:00",,Daily,www.microsoft.com,Microsoft Corporation
"10/23/2023 12:00:00 AM +00:00","10/23/2023 11:59:59 PM +00:00",,Daily,www.microsoft.com,Microsoft Corporation
"10/23/2023 12:00:00 AM +00:00","10/23/2023 11:59:59 PM +00:00",,Daily,www.microsoft.com,Microsoft Corporation
"10/23/2023 12:00:00 AM +00:00","10/23/2023 11:59:59 PM +00:00",,Daily,www.microsoft.com,Microsoft Corporation
"10/23/2023 12:00:00 AM +00:00","10/23/2023 11:59:59 PM +00:00",,Daily,support.microsoft.com,Microsoft Corporation
"10/23/2023 12:00:00 AM +00:00","10/23/2023 11:59:59 PM +00:00",,Daily,www.microsoft.com,Microsoft Corporation
"10/23/2023 12:00:00 AM +00:00","10/23/2023 11:59:59 PM +00:00",,Daily,www.microsoft.com,Microsoft Corporation
"10/23/2023 12:00:00 AM +00:00","10/23/2023 11:59:59 PM +00:00",,Daily,support.microsoft.com,Microsoft Corporation
"10/23/2023 12:00:00 AM +00:00","10/23/2023 11:59:59 PM +00:00",,Daily,answers.microsoft.com,Microsoft Corporation
"10/23/2023 12:00:00 AM +00:00","10/23/2023 11:59:59 PM +00:00",,Daily,account.microsoft.com,Microsoft Corporation
"10/23/2023 12:00:00 AM +00:00","10/23/2023 11:59:59 PM +00:00",,Daily,answers.microsoft.com,Microsoft Corporation
"10/22/2023 12:00:00 AM +00:00","10/22/2023 11:59:59 PM +00:00",,Daily,Microsoft Outlook,Microsoft Corporation
"10/22/2023 12:00:00 AM +00:00","10/22/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"10/22/2023 12:00:00 AM +00:00","10/22/2023 11:59:59 PM +00:00",,Daily,Microsoft Store,Microsoft Corporation
"10/22/2023 12:00:00 AM +00:00","10/22/2023 11:59:59 PM +00:00",,Daily,Microsoft Sticky Notes,Microsoft Corporation
"10/22/2023 12:00:00 AM +00:00","10/22/2023 11:59:59 PM +00:00",,Daily,Office Shared Components,Microsoft Corporation
"10/22/2023 12:00:00 AM +00:00","10/22/2023 11:59:59 PM +00:00",,Daily,myaccount.microsoft.com,Microsoft Corporation
"10/22/2023 12:00:00 AM +00:00","10/22/2023 11:59:59 PM +00:00",,Daily,www.microsoft.com,Microsoft Corporation
"10/22/2023 12:00:00 AM +00:00","10/22/2023 11:59:59 PM +00:00",,Daily,learn.microsoft.com,Microsoft Corporation
"10/22/2023 12:00:00 AM +00:00","10/22/2023 11:59:59 PM +00:00",,Daily,www.microsoft.com,Microsoft Corporation
"10/22/2023 12:00:00 AM +00:00","10/22/2023 11:59:59 PM +00:00",,Daily,support.microsoft.com,Microsoft Corporation
"10/22/2023 12:00:00 AM +00:00","10/22/2023 11:59:59 PM +00:00",,Daily,appsource.microsoft.com,Microsoft Corporation
"10/22/2023 12:00:00 AM +00:00","10/22/2023 11:59:59 PM +00:00",,Daily,support.microsoft.com,Microsoft Corporation
"10/22/2023 12:00:00 AM +00:00","10/22/2023 11:59:59 PM +00:00",,Daily,www.microsoft.com,Microsoft Corporation
"10/22/2023 12:00:00 AM +00:00","10/22/2023 11:59:59 PM +00:00",,Daily,www.microsoft.com,Microsoft Corporation
"10/22/2023 12:00:00 AM +00:00","10/22/2023 11:59:59 PM +00:00",,Daily,support.microsoft.com,Microsoft Corporation
"10/22/2023 12:00:00 AM +00:00","10/22/2023 11:59:59 PM +00:00",,Daily,www.microsoft.com,Microsoft Corporation
"10/22/2023 12:00:00 AM +00:00","10/22/2023 11:59:59 PM +00:00",,Daily,account.microsoft.com,Microsoft Corporation
"10/22/2023 12:00:00 AM +00:00","10/22/2023 11:59:59 PM +00:00",,Daily,www.microsoft.com,Microsoft Corporation
"10/21/2023 12:00:00 AM +00:00","10/21/2023 11:59:59 PM +00:00",,Daily,Microsoft Sticky Notes,Microsoft Corporation
"10/21/2023 12:00:00 AM +00:00","10/21/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"10/21/2023 12:00:00 AM +00:00","10/21/2023 11:59:59 PM +00:00",,Daily,Microsoft Outlook,Microsoft Corporation
"10/21/2023 12:00:00 AM +00:00","10/21/2023 11:59:59 PM +00:00",,Daily,Office Shared Components,Microsoft Corporation
"10/21/2023 12:00:00 AM +00:00","10/21/2023 11:59:59 PM +00:00",,Daily,www.microsoft.com,Microsoft Corporation
